"Time (UTCG)","yaw (deg)","pitch (deg)","roll (deg)","precession (deg)","nutation (deg)","spin (deg)","precession (deg)","nutation (deg)","spin (deg)","q1","q2","q3","q4","wx (deg/sec)","wy (deg/sec)","wz (deg/sec)","w mag (deg/sec)","RightAscension of w (deg)","Declination of w (deg)","Eigen-Angle (deg)","Eigen-Axis x","Eigen-Axis y","Eigen-Axis z"
25 Jul 2022 10:00:00.000,134.883,3.604,90.000,-176.396,-45.117,-90.000,-86.396,90.000,-135.117,0.291661,-0.644153,0.661212,0.250595,0.000000,-0.052982,-0.000005,0.052982,-90.000,-0.005,150.975,0.301274,-0.665385,0.683006
25 Jul 2022 10:00:10.000,134.859,3.978,90.376,-175.645,-45.114,-90.532,-86.022,90.375,-135.115,0.294715,-0.645305,0.659857,0.247615,-0.000000,-0.052982,-0.000001,0.052982,-90.000,-0.001,151.327,0.304188,-0.666047,0.681066
25 Jul 2022 10:00:20.000,134.831,4.351,90.753,-174.895,-45.107,-91.064,-85.648,90.751,-135.112,0.297763,-0.646443,0.658487,0.244628,-0.000000,-0.052982,0.000003,0.052982,-90.000,0.004,151.680,0.307093,-0.666700,0.679121
25 Jul 2022 10:00:30.000,134.801,4.725,91.130,-174.144,-45.094,-91.595,-85.274,91.126,-135.105,0.300804,-0.647567,0.657104,0.241637,-0.000000,-0.052982,0.000008,0.052982,-90.000,0.008,152.034,0.309990,-0.667343,0.677170
25 Jul 2022 10:00:40.000,134.769,5.098,91.507,-173.394,-45.077,-92.126,-84.900,91.501,-135.097,0.303838,-0.648678,0.655706,0.238639,0.000000,-0.052982,0.000012,0.052982,-90.000,0.013,152.388,0.312878,-0.667977,0.675214
25 Jul 2022 10:00:50.000,134.735,5.471,91.885,-172.645,-45.055,-92.657,-84.526,91.877,-135.086,0.306866,-0.649775,0.654294,0.235637,-0.000000,-0.052982,0.000016,0.052982,-90.000,0.017,152.742,0.315757,-0.668602,0.673252
25 Jul 2022 10:01:00.000,134.697,5.844,92.264,-171.896,-45.028,-93.187,-84.152,92.252,-135.072,0.309887,-0.650858,0.652869,0.232629,-0.000000,-0.052981,0.000019,0.052981,-90.000,0.021,153.096,0.318628,-0.669217,0.671285
25 Jul 2022 10:01:10.000,134.658,6.216,92.642,-171.148,-44.996,-93.716,-83.777,92.627,-135.056,0.312901,-0.651927,0.651430,0.229616,0.000000,-0.052981,0.000023,0.052981,-90.000,0.025,153.451,0.321491,-0.669824,0.669313
25 Jul 2022 10:01:20.000,134.616,6.588,93.022,-170.401,-44.959,-94.244,-83.402,93.002,-135.037,0.315908,-0.652982,0.649977,0.226598,0.000000,-0.052981,0.000027,0.052981,-90.000,0.029,153.806,0.324345,-0.670421,0.667335
25 Jul 2022 10:01:30.000,134.571,6.960,93.402,-169.655,-44.917,-94.771,-83.027,93.377,-135.016,0.318908,-0.654024,0.648510,0.223575,-0.000000,-0.052981,0.000030,0.052981,-90.000,0.033,154.162,0.327190,-0.671009,0.665352
25 Jul 2022 10:01:40.000,134.524,7.332,93.782,-168.910,-44.870,-95.297,-82.652,93.751,-134.992,0.321901,-0.655051,0.647029,0.220547,0.000000,-0.052981,0.000034,0.052981,-90.000,0.037,154.518,0.330028,-0.671588,0.663363
25 Jul 2022 10:01:50.000,134.475,7.703,94.163,-168.166,-44.818,-95.821,-82.276,94.126,-134.966,0.324887,-0.656065,0.645534,0.217514,0.000000,-0.052981,0.000037,0.052981,-90.000,0.040,154.874,0.332857,-0.672158,0.661369
25 Jul 2022 10:02:00.000,134.423,8.074,94.545,-167.424,-44.762,-96.344,-81.900,94.500,-134.938,0.327866,-0.657065,0.644026,0.214476,-0.000000,-0.052981,0.000040,0.052981,-90.000,0.044,155.230,0.335678,-0.672719,0.659370
