"Time (UTCG)","yaw (deg)","pitch (deg)","roll (deg)","precession (deg)","nutation (deg)","spin (deg)","precession (deg)","nutation (deg)","spin (deg)","q1","q2","q3","q4","wx (deg/sec)","wy (deg/sec)","wz (deg/sec)","w mag (deg/sec)","RightAscension of w (deg)","Declination of w (deg)","Eigen-Angle (deg)","Eigen-Axis x","Eigen-Axis y","Eigen-Axis z"
25 Jul 2022 10:00:00.000,112.479,-89.905,65.641,90.050,-43.162,-89.946,-179.914,89.961,-133.162,-0.280458,-0.648847,0.281626,0.648866,0.000108,-0.053090,-0.000005,0.053090,-89.883,-0.005,99.088,-0.368586,-0.852734,0.370121
25 Jul 2022 10:00:10.000,171.122,-89.426,124.285,90.777,-43.160,-90.443,-179.526,90.323,-133.161,-0.279144,-0.651844,0.282928,0.645856,0.000108,-0.053090,-0.000002,0.053090,-89.883,-0.002,99.540,-0.365630,-0.853803,0.370588
25 Jul 2022 10:00:20.000,175.332,-88.898,128.494,91.505,-43.154,-90.940,-179.138,90.686,-133.158,-0.277824,-0.654826,0.284225,0.642832,0.000108,-0.053090,0.000001,0.053090,-89.883,0.002,99.993,-0.362691,-0.854856,0.371047
25 Jul 2022 10:00:30.000,176.811,-88.369,129.974,92.233,-43.143,-91.436,-178.750,91.048,-133.152,-0.276498,-0.657795,0.285515,0.639794,0.000108,-0.053089,0.000005,0.053090,-89.883,0.005,100.447,-0.359768,-0.855894,0.371500
25 Jul 2022 10:00:40.000,177.565,-87.838,130.729,92.960,-43.127,-91.932,-178.361,91.410,-133.143,-0.275167,-0.660749,0.286800,0.636742,0.000108,-0.053089,0.000008,0.053089,-89.884,0.008,100.901,-0.356860,-0.856917,0.371947
25 Jul 2022 10:00:50.000,178.022,-87.308,131.186,93.687,-43.107,-92.428,-177.973,91.773,-133.132,-0.273830,-0.663689,0.288078,0.633676,0.000108,-0.053089,0.000011,0.053089,-89.884,0.011,101.356,-0.353969,-0.857924,0.372387
25 Jul 2022 10:01:00.000,178.329,-86.777,131.493,94.413,-43.082,-92.923,-177.585,92.135,-133.119,-0.272487,-0.666615,0.289351,0.630597,0.000108,-0.053089,0.000013,0.053089,-89.884,0.014,101.812,-0.351093,-0.858917,0.372821
25 Jul 2022 10:01:10.000,178.548,-86.246,131.713,95.138,-43.052,-93.418,-177.196,92.497,-133.103,-0.271138,-0.669526,0.290617,0.627504,0.000108,-0.053089,0.000016,0.053089,-89.884,0.017,102.268,-0.348232,-0.859895,0.373249
25 Jul 2022 10:01:20.000,178.714,-85.716,131.878,95.863,-43.018,-93.911,-176.807,92.859,-133.085,-0.269784,-0.672423,0.291877,0.624397,0.000108,-0.053089,0.000019,0.053089,-89.884,0.020,102.724,-0.345387,-0.860859,0.373671
25 Jul 2022 10:01:30.000,178.843,-85.185,132.007,96.587,-42.979,-94.404,-176.418,93.220,-133.064,-0.268424,-0.675305,0.293131,0.621277,0.000108,-0.053089,0.000021,0.053089,-89.884,0.023,103.181,-0.342557,-0.861808,0.374087
