"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Alt AGL (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)","Centric Lat (deg)","Centric Lon (deg)","Terrain Alt (km)","Alt MSL (km)"
25 Jul 2022 10:00:00.000,0.000,93.604,50.000000,No Terrain,0.037540,0.037388,0.000000,0.000,93.604,No Terrain,50.042682
25 Jul 2022 10:00:10.000,0.375,93.978,50.000004,No Terrain,0.037539,0.037389,0.000001,0.375,93.978,No Terrain,50.040180
25 Jul 2022 10:00:20.000,0.751,94.352,50.000020,No Terrain,0.037537,0.037394,0.000002,0.751,94.352,No Terrain,50.037954
25 Jul 2022 10:00:30.000,1.126,94.726,50.000055,No Terrain,0.037533,0.037402,0.000005,1.126,94.726,No Terrain,50.036799
25 Jul 2022 10:00:40.000,1.501,95.100,50.000116,No Terrain,0.037527,0.037413,0.000007,1.501,95.100,No Terrain,50.036698
25 Jul 2022 10:00:50.000,1.877,95.474,50.000206,No Terrain,0.037520,0.037428,0.000011,1.877,95.474,No Terrain,50.036318
25 Jul 2022 10:01:00.000,2.252,95.848,50.000329,No Terrain,0.037511,0.037445,0.000014,2.252,95.848,No Terrain,50.031539
25 Jul 2022 10:01:10.000,2.627,96.223,50.000488,No Terrain,0.037500,0.037466,0.000018,2.627,96.223,No Terrain,50.029501
25 Jul 2022 10:01:20.000,3.002,96.598,50.000682,No Terrain,0.037488,0.037491,0.000021,3.002,96.598,No Terrain,50.030886
25 Jul 2022 10:01:30.000,3.377,96.973,50.000913,No Terrain,0.037474,0.037518,0.000025,3.377,96.973,No Terrain,50.027774
25 Jul 2022 10:01:40.000,3.751,97.348,50.001177,No Terrain,0.037458,0.037549,0.000028,3.751,97.348,No Terrain,50.021712
25 Jul 2022 10:01:50.000,4.126,97.724,50.001472,No Terrain,0.037441,0.037583,0.000031,4.126,97.724,No Terrain,50.021733
25 Jul 2022 10:02:00.000,4.500,98.100,50.001792,No Terrain,0.037423,0.037620,0.000033,4.500,98.100,No Terrain,50.021973
25 Jul 2022 10:02:10.000,4.874,98.476,50.002132,No Terrain,0.037402,0.037661,0.000035,4.874,98.476,No Terrain,50.021730
