"Time (UTCG)","x (km)","y (km)","z (km)"
25 Jul 2022 10:00:00.000,112.349385,-1783.865571,0.000000
25 Jul 2022 10:00:10.000,123.984815,-1783.056195,-11.710856
25 Jul 2022 10:00:20.000,135.609609,-1782.094368,-23.420679
25 Jul 2022 10:00:30.000,147.222789,-1780.980180,-35.128465
25 Jul 2022 10:00:40.000,158.823373,-1779.713730,-46.833207
25 Jul 2022 10:00:50.000,170.410382,-1778.295133,-58.533900
25 Jul 2022 10:01:00.000,181.982838,-1776.724513,-70.229542
25 Jul 2022 10:01:10.000,193.539765,-1775.002005,-81.919128
25 Jul 2022 10:01:20.000,205.080187,-1773.127758,-93.601657
25 Jul 2022 10:01:30.000,216.603128,-1771.101930,-105.276126
25 Jul 2022 10:01:40.000,228.107615,-1768.924691,-116.941534
25 Jul 2022 10:01:50.000,239.592674,-1766.596223,-128.596880
25 Jul 2022 10:02:00.000,251.057332,-1764.116719,-140.241164
25 Jul 2022 10:02:10.000,262.500616,-1761.486384,-151.873384
25 Jul 2022 10:02:20.000,273.921554,-1758.705436,-163.492539
25 Jul 2022 10:02:30.000,285.319172,-1755.774105,-175.097629
25 Jul 2022 10:02:40.000,296.692498,-1752.692636,-186.687654
25 Jul 2022 10:02:50.000,308.040562,-1749.461287,-198.261614
25 Jul 2022 10:03:00.000,319.362391,-1746.080332,-209.818510
25 Jul 2022 10:03:10.000,330.657018,-1742.550059,-221.357345
25 Jul 2022 10:03:20.000,341.923476,-1738.870772,-232.877124
25 Jul 2022 10:03:30.000,353.160804,-1735.042789,-244.376855
25 Jul 2022 10:03:40.000,364.368041,-1731.066443,-255.855548
25 Jul 2022 10:03:50.000,375.544234,-1726.942080,-267.312216
25 Jul 2022 10:04:00.000,386.688432,-1722.670059,-278.745878
25 Jul 2022 10:04:10.000,397.799689,-1718.250750,-290.155554
25 Jul 2022 10:04:20.000,408.877064,-1713.684535,-301.540267
25 Jul 2022 10:04:30.000,419.919616,-1708.971806,-312.899044
25 Jul 2022 10:04:40.000,430.926411,-1704.112967,-324.230914
25 Jul 2022 10:04:50.000,441.896515,-1699.108432,-335.534907
25 Jul 2022 10:05:00.000,452.828996,-1693.958628,-346.810057
25 Jul 2022 10:05:10.000,463.722925,-1688.663991,-358.055398
25 Jul 2022 10:05:20.000,474.577372,-1683.224972,-369.269967
25 Jul 2022 10:05:30.000,485.391414,-1677.642035,-380.452801
25 Jul 2022 10:05:40.000,496.164125,-1671.915658,-391.602943
25 Jul 2022 10:05:50.000,506.894587,-1666.046332,-402.719434
25 Jul 2022 10:06:00.000,517.581883,-1660.034562,-413.801323
25 Jul 2022 10:06:10.000,528.225103,-1653.880866,-424.847660
25 Jul 2022 10:06:20.000,538.823341,-1647.585775,-435.857500
25 Jul 2022 10:06:30.000,549.375696,-1641.149830,-446.829901
25 Jul 2022 10:06:40.000,559.881273,-1634.573585,-457.763924
25 Jul 2022 10:06:50.000,570.339182,-1627.857601,-468.658636
25 Jul 2022 10:07:00.000,580.748538,-1621.002451,-479.513104
25 Jul 2022 10:07:10.000,591.108458,-1614.008716,-490.326400
25 Jul 2022 10:07:20.000,601.418063,-1606.876987,-501.097597
25 Jul 2022 10:07:30.000,611.676478,-1599.607866,-511.825771
25 Jul 2022 10:07:40.000,621.882830,-1592.201967,-522.509998
25 Jul 2022 10:07:50.000,632.036246,-1584.659914,-533.149359
25 Jul 2022 10:08:00.000,642.135859,-1576.982345,-543.742936
25 Jul 2022 10:08:10.000,652.180805,-1569.169913,-554.289815
25 Jul 2022 10:08:20.000,662.170221,-1561.223284,-564.789086
25 Jul 2022 10:08:30.000,672.103252,-1553.143137,-575.239844
25 Jul 2022 10:08:40.000,681.979049,-1544.930165,-585.641188
25 Jul 2022 10:08:50.000,691.796766,-1536.585076,-595.992225
25 Jul 2022 10:09:00.000,701.555566,-1528.108588,-606.292066
25 Jul 2022 10:09:10.000,711.254619,-1519.501429,-616.539828
25 Jul 2022 10:09:20.000,720.893100,-1510.764340,-626.734635
25 Jul 2022 10:09:30.000,730.470193,-1501.898070,-636.875614
25 Jul 2022 10:09:40.000,739.985084,-1492.903376,-646.961898
25 Jul 2022 10:09:50.000,749.436967,-1483.781026,-656.992624
25 Jul 2022 10:10:00.000,758.825041,-1474.531797,-666.966933
25 Jul 2022 10:10:10.000,768.148508,-1465.156475,-676.883970
25 Jul 2022 10:10:20.000,777.406575,-1455.655856,-686.742884
25 Jul 2022 10:10:30.000,786.598454,-1446.030748,-696.542825
25 Jul 2022 10:10:40.000,795.723361,-1436.281971,-706.282951
25 Jul 2022 10:10:50.000,804.780517,-1426.410354,-715.962422
25 Jul 2022 10:11:00.000,813.769149,-1416.416739,-725.580405
25 Jul 2022 10:11:10.000,822.688489,-1406.301981,-735.136071
25 Jul 2022 10:11:20.000,831.537777,-1396.066944,-744.628598
25 Jul 2022 10:11:30.000,840.316258,-1385.712505,-754.057167
25 Jul 2022 10:11:40.000,849.023185,-1375.239549,-763.420969
25 Jul 2022 10:11:50.000,857.657816,-1364.648973,-772.719199
25 Jul 2022 10:12:00.000,866.219416,-1353.941683,-781.951056
25 Jul 2022 10:12:10.000,874.707258,-1343.118594,-791.115749
25 Jul 2022 10:12:20.000,883.120620,-1332.180632,-800.212490
25 Jul 2022 10:12:30.000,891.458785,-1321.128732,-809.240495
25 Jul 2022 10:12:40.000,899.721043,-1309.963838,-818.198991
25 Jul 2022 10:12:50.000,907.906691,-1298.686905,-827.087206
25 Jul 2022 10:13:00.000,916.015031,-1287.298897,-835.904377
25 Jul 2022 10:13:10.000,924.045371,-1275.800789,-844.649746
25 Jul 2022 10:13:20.000,931.997026,-1264.193565,-853.322564
25 Jul 2022 10:13:30.000,939.869319,-1252.478219,-861.922085
25 Jul 2022 10:13:40.000,947.661580,-1240.655752,-870.447574
25 Jul 2022 10:13:50.000,955.373145,-1228.727176,-878.898300
25 Jul 2022 10:14:00.000,963.003357,-1216.693510,-887.273537
25 Jul 2022 10:14:10.000,970.551569,-1204.555780,-895.572569
25 Jul 2022 10:14:20.000,978.017138,-1192.315021,-903.794681
25 Jul 2022 10:14:30.000,985.399428,-1179.972277,-911.939167
25 Jul 2022 10:14:40.000,992.697812,-1167.528598,-920.005324
25 Jul 2022 10:14:50.000,999.911668,-1154.985046,-927.992454
25 Jul 2022 10:15:00.000,1007.040381,-1142.342688,-935.899866
25 Jul 2022 10:15:10.000,1014.083343,-1129.602605,-943.726875
25 Jul 2022 10:15:20.000,1021.039952,-1116.765885,-951.472802
25 Jul 2022 10:15:30.000,1027.909615,-1103.833624,-959.136973
25 Jul 2022 10:15:40.000,1034.691744,-1090.806931,-966.718725
25 Jul 2022 10:15:50.000,1041.385759,-1077.686921,-974.217401
25 Jul 2022 10:16:00.000,1047.991089,-1064.474719,-981.632355
25 Jul 2022 10:16:10.000,1054.507168,-1051.171457,-988.962945
25 Jul 2022 10:16:20.000,1060.933438,-1037.778275,-996.208542
25 Jul 2022 10:16:30.000,1067.269349,-1024.296321,-1003.368522
25 Jul 2022 10:16:40.000,1073.514359,-1010.726750,-1010.442272
25 Jul 2022 10:16:50.000,1079.667931,-997.070722,-1017.429185
25 Jul 2022 10:17:00.000,1085.729538,-983.329406,-1024.328661
25 Jul 2022 10:17:10.000,1091.698660,-969.503981,-1031.140107
25 Jul 2022 10:17:20.000,1097.574785,-955.595630,-1037.862941
25 Jul 2022 10:17:30.000,1103.357412,-941.605546,-1044.496583
25 Jul 2022 10:17:40.000,1109.046048,-927.534929,-1051.040466
25 Jul 2022 10:17:50.000,1114.640209,-913.384987,-1057.494028
25 Jul 2022 10:18:00.000,1120.139423,-899.156934,-1063.856716
25 Jul 2022 10:18:10.000,1125.543226,-884.851991,-1070.127987
25 Jul 2022 10:18:20.000,1130.851165,-870.471384,-1076.307305
25 Jul 2022 10:18:30.000,1136.062796,-856.016344,-1082.394144
25 Jul 2022 10:18:40.000,1141.177684,-841.488104,-1088.387984
25 Jul 2022 10:18:50.000,1146.195399,-826.887904,-1094.288316
25 Jul 2022 10:19:00.000,1151.115521,-812.216987,-1100.094634
25 Jul 2022 10:19:10.000,1155.937635,-797.476599,-1105.806441
25 Jul 2022 10:19:20.000,1160.661333,-782.667994,-1111.423245
25 Jul 2022 10:19:30.000,1165.286212,-767.792430,-1116.944562
25 Jul 2022 10:19:40.000,1169.811876,-752.851173,-1122.369912
25 Jul 2022 10:19:50.000,1174.237938,-737.845497,-1127.698821
25 Jul 2022 10:20:00.000,1178.564016,-722.776684,-1132.930824
25 Jul 2022 10:20:10.000,1182.789740,-707.646026,-1138.065463
25 Jul 2022 10:20:20.000,1186.914748,-692.454822,-1143.102288
25 Jul 2022 10:20:30.000,1190.938691,-677.204379,-1148.040860
25 Jul 2022 10:20:40.000,1194.861230,-661.896009,-1152.880749
