"Time (UTCG)","x (km)","y (km)","z (km)"
25 Jul 2022 10:00:00.000,-1787.397559,-2.691051,1.218388
25 Jul 2022 10:00:10.000,-1787.310316,-14.794440,-10.086278
25 Jul 2022 10:00:20.000,-1787.069633,-26.896520,-21.390053
25 Jul 2022 10:00:30.000,-1786.675540,-38.996260,-32.691965
25 Jul 2022 10:00:40.000,-1786.128077,-51.092630,-43.991043
25 Jul 2022 10:00:50.000,-1785.427295,-63.184601,-55.286318
25 Jul 2022 10:01:00.000,-1784.573260,-75.271142,-66.576819
25 Jul 2022 10:01:10.000,-1783.566046,-87.351225,-77.861578
25 Jul 2022 10:01:20.000,-1782.405742,-99.423819,-89.139628
25 Jul 2022 10:01:30.000,-1781.092447,-111.487898,-100.410001
25 Jul 2022 10:01:40.000,-1779.626270,-123.542432,-111.671729
25 Jul 2022 10:01:50.000,-1778.007334,-135.586393,-122.923847
25 Jul 2022 10:02:00.000,-1776.235772,-147.618752,-134.165388
25 Jul 2022 10:02:10.000,-1774.311731,-159.638480,-145.395385
25 Jul 2022 10:02:20.000,-1772.235367,-171.644546,-156.612872
25 Jul 2022 10:02:30.000,-1770.006853,-183.635921,-167.816883
25 Jul 2022 10:02:40.000,-1767.626374,-195.611573,-179.006453
25 Jul 2022 10:02:50.000,-1765.094129,-207.570471,-190.180615
25 Jul 2022 10:03:00.000,-1762.410332,-219.511583,-201.338406
25 Jul 2022 10:03:10.000,-1759.575215,-231.433881,-212.478863
25 Jul 2022 10:03:20.000,-1756.589021,-243.336336,-223.601026
25 Jul 2022 10:03:30.000,-1753.452011,-255.217922,-234.703935
25 Jul 2022 10:03:40.000,-1750.164460,-267.077616,-245.786636
25 Jul 2022 10:03:50.000,-1746.726657,-278.914401,-256.848177
25 Jul 2022 10:04:00.000,-1743.138901,-290.727261,-267.887608
25 Jul 2022 10:04:10.000,-1739.401509,-302.515184,-278.903985
25 Jul 2022 10:04:20.000,-1735.514804,-314.277162,-289.896364
25 Jul 2022 10:04:30.000,-1731.479123,-326.012189,-300.863805
25 Jul 2022 10:04:40.000,-1727.294813,-337.719263,-311.805371
25 Jul 2022 10:04:50.000,-1722.962234,-349.397383,-322.720126
25 Jul 2022 10:05:00.000,-1718.481754,-361.045548,-333.607136
25 Jul 2022 10:05:10.000,-1713.853757,-372.662759,-344.465469
25 Jul 2022 10:05:20.000,-1709.078638,-384.248020,-355.294195
25 Jul 2022 10:05:30.000,-1704.156806,-395.800333,-366.092385
25 Jul 2022 10:05:40.000,-1699.088683,-407.318705,-376.859113
25 Jul 2022 10:05:50.000,-1693.874707,-418.802143,-387.593456
25 Jul 2022 10:06:00.000,-1688.515328,-430.249661,-398.294493
25 Jul 2022 10:06:10.000,-1683.011011,-441.660273,-408.961309
25 Jul 2022 10:06:20.000,-1677.362234,-453.033000,-419.592989
25 Jul 2022 10:06:30.000,-1671.569484,-464.366868,-430.188626
25 Jul 2022 10:06:40.000,-1665.633262,-475.660907,-440.747313
25 Jul 2022 10:06:50.000,-1659.554078,-486.914151,-451.268147
25 Jul 2022 10:07:00.000,-1653.332453,-498.125640,-461.750229
25 Jul 2022 10:07:10.000,-1646.968916,-509.294416,-472.192663
25 Jul 2022 10:07:20.000,-1640.464007,-520.419523,-482.594551
25 Jul 2022 10:07:30.000,-1633.818278,-531.500009,-492.955003
