"Time (UTCG)","vx (km/sec)","vy (km/sec)","vz (km/sec)","speed (km/sec)","vr (km/sec)","vi (km/sec)"
25 Jul 2022 10:00:00.000,-1.164042,-0.073312,1.171104,1.652832,-0.000000,1.652832
25 Jul 2022 10:00:10.000,-1.163028,-0.088562,1.171051,1.652827,0.000001,1.652827
25 Jul 2022 10:00:20.000,-1.161915,-0.103802,1.170897,1.652822,0.000002,1.652822
25 Jul 2022 10:00:30.000,-1.160704,-0.119034,1.170643,1.652819,0.000005,1.652819
25 Jul 2022 10:00:40.000,-1.159396,-0.134254,1.170289,1.652815,0.000007,1.652815
25 Jul 2022 10:00:50.000,-1.157990,-0.149463,1.169833,1.652813,0.000011,1.652813
25 Jul 2022 10:01:00.000,-1.156485,-0.164659,1.169278,1.652810,0.000014,1.652810
25 Jul 2022 10:01:10.000,-1.154884,-0.179840,1.168622,1.652809,0.000018,1.652809
25 Jul 2022 10:01:20.000,-1.153184,-0.195007,1.167867,1.652808,0.000021,1.652808
25 Jul 2022 10:01:30.000,-1.151388,-0.210156,1.167011,1.652808,0.000025,1.652808
25 Jul 2022 10:01:40.000,-1.149494,-0.225288,1.166054,1.652808,0.000028,1.652808
25 Jul 2022 10:01:50.000,-1.147502,-0.240402,1.164998,1.652808,0.000031,1.652808
25 Jul 2022 10:02:00.000,-1.145413,-0.255495,1.163842,1.652809,0.000033,1.652809
25 Jul 2022 10:02:10.000,-1.143227,-0.270568,1.162585,1.652810,0.000035,1.652810
25 Jul 2022 10:02:20.000,-1.140944,-0.285618,1.161229,1.652811,0.000036,1.652811
25 Jul 2022 10:02:30.000,-1.138563,-0.300644,1.159772,1.652811,0.000036,1.652811
25 Jul 2022 10:02:40.000,-1.136086,-0.315645,1.158216,1.652812,0.000035,1.652812
25 Jul 2022 10:02:50.000,-1.133511,-0.330620,1.156559,1.652812,0.000035,1.652812
25 Jul 2022 10:03:00.000,-1.130839,-0.345566,1.154803,1.652811,0.000034,1.652811
25 Jul 2022 10:03:10.000,-1.128070,-0.360483,1.152947,1.652809,0.000032,1.652809
25 Jul 2022 10:03:20.000,-1.125205,-0.375369,1.150992,1.652807,0.000031,1.652807
25 Jul 2022 10:03:30.000,-1.122244,-0.390222,1.148938,1.652805,0.000030,1.652805
25 Jul 2022 10:03:40.000,-1.119187,-0.405041,1.146784,1.652802,0.000030,1.652802
25 Jul 2022 10:03:50.000,-1.116035,-0.419825,1.144533,1.652799,0.000030,1.652799
25 Jul 2022 10:04:00.000,-1.112788,-0.434573,1.142183,1.652796,0.000031,1.652796
25 Jul 2022 10:04:10.000,-1.109447,-0.449283,1.139736,1.652793,0.000033,1.652793
25 Jul 2022 10:04:20.000,-1.106012,-0.463954,1.137191,1.652791,0.000034,1.652791
25 Jul 2022 10:04:30.000,-1.102483,-0.478585,1.134549,1.652789,0.000036,1.652789
25 Jul 2022 10:04:40.000,-1.098860,-0.493176,1.131809,1.652788,0.000038,1.652788
25 Jul 2022 10:04:50.000,-1.095145,-0.507724,1.128973,1.652788,0.000040,1.652788
25 Jul 2022 10:05:00.000,-1.091336,-0.522229,1.126041,1.652787,0.000042,1.652787
25 Jul 2022 10:05:10.000,-1.087434,-0.536690,1.123012,1.652787,0.000044,1.652787
25 Jul 2022 10:05:20.000,-1.083440,-0.551106,1.119886,1.652787,0.000046,1.652787
25 Jul 2022 10:05:30.000,-1.079353,-0.565474,1.116665,1.652787,0.000047,1.652787
