"Time (UTCG)","vx (km/sec)","vy (km/sec)","vz (km/sec)","speed (km/sec)","vr (km/sec)","vi (km/sec)"
25 Jul 2022 10:00:00.000,-0.001052,1.210370,1.130479,1.656194,0.000000,1.656194
25 Jul 2022 10:00:10.000,-0.016397,1.210291,1.130438,1.656189,0.000001,1.656189
25 Jul 2022 10:00:20.000,-0.031739,1.210108,1.130301,1.656185,0.000002,1.656185
25 Jul 2022 10:00:30.000,-0.047079,1.209823,1.130066,1.656181,0.000005,1.656181
25 Jul 2022 10:00:40.000,-0.062413,1.209434,1.129734,1.656178,0.000007,1.656178
25 Jul 2022 10:00:50.000,-0.077742,1.208943,1.129305,1.656175,0.000011,1.656175
25 Jul 2022 10:01:00.000,-0.093064,1.208348,1.128779,1.656173,0.000014,1.656173
25 Jul 2022 10:01:10.000,-0.108377,1.207651,1.128157,1.656171,0.000018,1.656171
25 Jul 2022 10:01:20.000,-0.123682,1.206851,1.127437,1.656171,0.000021,1.656171
25 Jul 2022 10:01:30.000,-0.138976,1.205948,1.126621,1.656170,0.000025,1.656170
25 Jul 2022 10:01:40.000,-0.154258,1.204942,1.125708,1.656170,0.000028,1.656170
25 Jul 2022 10:01:50.000,-0.169527,1.203833,1.124699,1.656171,0.000031,1.656171
25 Jul 2022 10:02:00.000,-0.184783,1.202621,1.123593,1.656172,0.000033,1.656172
25 Jul 2022 10:02:10.000,-0.200023,1.201307,1.122390,1.656173,0.000035,1.656173
25 Jul 2022 10:02:20.000,-0.215247,1.199889,1.121091,1.656173,0.000036,1.656173
25 Jul 2022 10:02:30.000,-0.230453,1.198369,1.119695,1.656174,0.000036,1.656174
25 Jul 2022 10:02:40.000,-0.245640,1.196745,1.118203,1.656174,0.000035,1.656174
25 Jul 2022 10:02:50.000,-0.260806,1.195018,1.116614,1.656174,0.000035,1.656174
25 Jul 2022 10:03:00.000,-0.275950,1.193188,1.114928,1.656173,0.000034,1.656173
25 Jul 2022 10:03:10.000,-0.291070,1.191255,1.113147,1.656172,0.000032,1.656172
25 Jul 2022 10:03:20.000,-0.306165,1.189219,1.111270,1.656170,0.000031,1.656170
25 Jul 2022 10:03:30.000,-0.321233,1.187081,1.109296,1.656167,0.000030,1.656167
25 Jul 2022 10:03:40.000,-0.336273,1.184841,1.107228,1.656165,0.000030,1.656165
