"Time (UTCG)","yaw (deg)","pitch (deg)","roll (deg)","precession (deg)","nutation (deg)","spin (deg)","precession (deg)","nutation (deg)","spin (deg)","q1","q2","q3","q4","wx (deg/sec)","wy (deg/sec)","wz (deg/sec)","w mag (deg/sec)","RightAscension of w (deg)","Declination of w (deg)","Eigen-Angle (deg)","Eigen-Axis x","Eigen-Axis y","Eigen-Axis z"
25 Jul 2022 10:00:00.000,157.596,-89.905,65.641,90.088,1.955,-89.961,-179.914,89.961,-88.045,-0.507913,-0.491614,0.508999,0.491183,-0.000000,-0.053090,0.000009,0.053090,-90.000,0.010,121.163,-0.583100,-0.564388,0.584347
25 Jul 2022 10:00:10.000,176.660,-89.381,84.705,90.619,1.954,-89.943,-179.383,89.943,-88.046,-0.505549,-0.493884,0.511347,0.488900,0.000000,-0.053090,0.000008,0.053090,-90.000,0.009,121.463,-0.579532,-0.566160,0.586179
25 Jul 2022 10:00:20.000,178.201,-88.850,86.247,91.150,1.954,-89.925,-178.853,89.925,-88.046,-0.503175,-0.496143,0.513684,0.486606,-0.000000,-0.053090,0.000008,0.053090,-90.000,0.009,121.764,-0.575965,-0.567915,0.587994
25 Jul 2022 10:00:30.000,178.769,-88.319,86.815,91.681,1.953,-89.907,-178.322,89.907,-88.047,-0.500790,-0.498392,0.516010,0.484302,-0.000000,-0.053090,0.000008,0.053090,-90.000,0.009,122.067,-0.572397,-0.569655,0.589793
25 Jul 2022 10:00:40.000,179.065,-87.789,87.110,92.212,1.952,-89.888,-177.791,89.889,-88.048,-0.498395,-0.500630,0.518325,0.481987,-0.000000,-0.053090,0.000008,0.053090,-90.000,0.009,122.369,-0.568828,-0.571379,0.591575
25 Jul 2022 10:00:50.000,179.246,-87.258,87.292,92.744,1.951,-89.870,-177.261,89.870,-88.049,-0.495988,-0.502857,0.520629,0.479662,-0.000000,-0.053090,0.000009,0.053090,-90.000,0.010,122.673,-0.565259,-0.573087,0.593341
25 Jul 2022 10:01:00.000,179.368,-86.727,87.414,93.275,1.950,-89.852,-176.730,89.852,-88.050,-0.493571,-0.505074,0.522921,0.477327,0.000000,-0.053090,0.000009,0.053090,-90.000,0.010,122.978,-0.561690,-0.574780,0.595091
25 Jul 2022 10:01:10.000,179.456,-86.196,87.502,93.806,1.949,-89.834,-176.200,89.834,-88.051,-0.491144,-0.507279,0.525203,0.474982,-0.000000,-0.053090,0.000010,0.053090,-90.000,0.011,123.284,-0.558121,-0.576456,0.596824
25 Jul 2022 10:01:20.000,179.523,-85.665,87.569,94.337,1.947,-89.816,-175.669,89.816,-88.053,-0.488706,-0.509474,0.527473,0.472626,0.000000,-0.053090,0.000011,0.053090,-90.000,0.012,123.590,-0.554551,-0.578118,0.598542
25 Jul 2022 10:01:30.000,179.575,-85.134,87.621,94.868,1.945,-89.798,-175.138,89.798,-88.055,-0.486257,-0.511657,0.529732,0.470260,0.000000,-0.053090,0.000011,0.053090,-90.000,0.012,123.898,-0.550982,-0.579763,0.600244
25 Jul 2022 10:01:40.000,179.617,-84.603,87.663,95.400,1.944,-89.780,-174.608,89.780,-88.056,-0.483798,-0.513830,0.531980,0.467884,0.000000,-0.053090,0.000012,0.053090,-90.000,0.012,124.206,-0.547413,-0.581394,0.601930
25 Jul 2022 10:01:50.000,179.651,-84.072,87.697,95.931,1.942,-89.762,-174.077,89.762,-88.058,-0.481329,-0.515992,0.534216,0.465498,-0.000000,-0.053090,0.000012,0.053090,-90.000,0.013,124.515,-0.543844,-0.583009,0.603600
25 Jul 2022 10:02:00.000,179.680,-83.542,87.726,96.462,1.939,-89.744,-173.547,89.744,-88.061,-0.478849,-0.518143,0.536441,0.463102,0.000000,-0.053091,0.000012,0.053091,-90.000,0.013,124.825,-0.540276,-0.584610,0.605255
25 Jul 2022 10:02:10.000,179.704,-83.011,87.750,96.993,1.937,-89.726,-173.016,89.726,-88.063,-0.476359,-0.520282,0.538654,0.460695,-0.000000,-0.053091,0.000012,0.053091,-90.000,0.013,125.136,-0.536708,-0.586195,0.606894
25 Jul 2022 10:02:20.000,179.725,-82.480,87.771,97.524,1.935,-89.708,-172.485,89.708,-88.065,-0.473859,-0.522410,0.540856,0.458279,-0.000000,-0.053091,0.000011,0.053091,-90.000,0.012,125.448,-0.533140,-0.587765,0.608518
25 Jul 2022 10:02:30.000,179.743,-81.949,87.789,98.056,1.932,-89.690,-171.955,89.690,-88.068,-0.471349,-0.524528,0.543046,0.455854,0.000000,-0.053091,0.000011,0.053091,-90.000,0.012,125.760,-0.529573,-0.589321,0.610126
25 Jul 2022 10:02:40.000,179.759,-81.418,87.805,98.587,1.929,-89.672,-171.424,89.673,-88.071,-0.468828,-0.526633,0.545224,0.453418,0.000000,-0.053091,0.000011,0.053091,-90.000,0.012,126.074,-0.526006,-0.590861,0.611719
25 Jul 2022 10:02:50.000,179.773,-80.887,87.819,99.118,1.926,-89.655,-170.894,89.655,-88.074,-0.466298,-0.528728,0.547391,0.450973,0.000000,-0.053091,0.000011,0.053091,-90.000,0.012,126.388,-0.522440,-0.592387,0.613297
25 Jul 2022 10:03:00.000,179.786,-80.356,87.832,99.649,1.923,-89.637,-170.363,89.637,-88.077,-0.463757,-0.530811,0.549546,0.448518,0.000000,-0.053092,0.000011,0.053092,-90.000,0.012,126.703,-0.518875,-0.593899,0.614860
25 Jul 2022 10:03:10.000,179.797,-79.825,87.843,100.180,1.920,-89.619,-169.832,89.619,-88.080,-0.461206,-0.532883,0.551689,0.446053,-0.000000,-0.053092,0.000011,0.053092,-90.000,0.012,127.019,-0.515311,-0.595396,0.616408
25 Jul 2022 10:03:20.000,179.807,-79.294,87.853,100.712,1.916,-89.601,-169.302,89.601,-88.084,-0.458646,-0.534944,0.553820,0.443579,0.000000,-0.053092,0.000012,0.053092,-90.000,0.013,127.335,-0.511747,-0.596879,0.617941
25 Jul 2022 10:03:30.000,179.816,-78.763,87.863,101.243,1.912,-89.583,-168.771,89.584,-88.088,-0.456076,-0.536993,0.555940,0.441095,0.000000,-0.053092,0.000012,0.053092,-90.000,0.013,127.652,-0.508185,-0.598347,0.619459
25 Jul 2022 10:03:40.000,179.824,-78.232,87.871,101.774,1.909,-89.566,-168.240,89.566,-88.091,-0.453496,-0.539030,0.558047,0.438602,-0.000000,-0.053092,0.000012,0.053092,-90.000,0.013,127.971,-0.504623,-0.599801,0.620962
25 Jul 2022 10:03:50.000,179.832,-77.702,87.879,102.305,1.905,-89.548,-167.710,89.548,-88.095,-0.450906,-0.541056,0.560143,0.436099,-0.000000,-0.053092,0.000013,0.053092,-90.000,0.014,128.290,-0.501063,-0.601241,0.622451
25 Jul 2022 10:04:00.000,179.839,-77.171,87.886,102.836,1.900,-89.530,-167.179,89.531,-88.099,-0.448306,-0.543070,0.562226,0.433587,-0.000000,-0.053092,0.000013,0.053092,-90.000,0.014,128.609,-0.497504,-0.602667,0.623925
25 Jul 2022 10:04:10.000,179.845,-76.640,87.892,103.368,1.896,-89.513,-166.648,89.513,-88.104,-0.445697,-0.545073,0.564298,0.431066,-0.000000,-0.053092,0.000013,0.053092,-90.000,0.014,128.930,-0.493946,-0.604079,0.625385
25 Jul 2022 10:04:20.000,179.851,-76.109,87.898,103.899,1.892,-89.495,-166.118,89.495,-88.108,-0.443079,-0.547063,0.566357,0.428535,-0.000000,-0.053092,0.000013,0.053092,-90.000,0.014,129.251,-0.490389,-0.605477,0.626831
25 Jul 2022 10:04:30.000,179.857,-75.578,87.904,104.430,1.887,-89.478,-165.587,89.478,-88.113,-0.440451,-0.549042,0.568405,0.425995,0.000000,-0.053092,0.000012,0.053092,-90.000,0.013,129.573,-0.486833,-0.606861,0.628262
25 Jul 2022 10:04:40.000,179.862,-75.047,87.909,104.961,1.882,-89.460,-165.056,89.460,-88.118,-0.437813,-0.551010,0.570440,0.423446,0.000000,-0.053092,0.000012,0.053092,-90.000,0.013,129.895,-0.483279,-0.608231,0.629679
25 Jul 2022 10:04:50.000,179.867,-74.516,87.913,105.492,1.877,-89.443,-164.526,89.443,-88.123,-0.435166,-0.552965,0.572462,0.420888,0.000000,-0.053092,0.000011,0.053092,-90.000,0.012,130.219,-0.479727,-0.609588,0.631082
25 Jul 2022 10:05:00.000,179.871,-73.985,87.918,106.024,1.872,-89.425,-163.995,89.426,-88.128,-0.432510,-0.554909,0.574473,0.418321,0.000000,-0.053092,0.000011,0.053092,-90.000,0.012,130.543,-0.476175,-0.610932,0.632471
25 Jul 2022 10:05:10.000,179.875,-73.454,87.922,106.555,1.867,-89.408,-163.465,89.408,-88.133,-0.429844,-0.556841,0.576471,0.415745,0.000000,-0.053092,0.000010,0.053092,-90.000,0.011,130.868,-0.472625,-0.612262,0.633846
25 Jul 2022 10:05:20.000,179.879,-72.923,87.926,107.086,1.861,-89.391,-162.934,89.391,-88.138,-0.427169,-0.558761,0.578457,0.413160,0.000000,-0.053092,0.000009,0.053092,-90.000,0.010,131.193,-0.469077,-0.613579,0.635207
25 Jul 2022 10:05:30.000,179.883,-72.392,87.930,107.617,1.856,-89.374,-162.403,89.374,-88.144,-0.424485,-0.560669,0.580430,0.410566,0.000000,-0.053092,0.000009,0.053092,-90.000,0.010,131.519,-0.465530,-0.614882,0.636554
25 Jul 2022 10:05:40.000,179.886,-71.861,87.933,108.148,1.850,-89.356,-161.872,89.357,-88.150,-0.421791,-0.562564,0.582391,0.407964,0.000000,-0.053092,0.000009,0.053092,-90.000,0.009,131.846,-0.461985,-0.616173,0.637888
25 Jul 2022 10:05:50.000,179.889,-71.331,87.937,108.679,1.844,-89.339,-161.342,89.340,-88.156,-0.419089,-0.564448,0.584339,0.405353,0.000000,-0.053093,0.000008,0.053093,-90.000,0.009,132.174,-0.458441,-0.617450,0.639208
25 Jul 2022 10:06:00.000,179.892,-70.800,87.940,109.211,1.838,-89.322,-160.811,89.323,-88.162,-0.416377,-0.566320,0.586275,0.402733,-0.000000,-0.053093,0.000008,0.053093,-90.000,0.009,132.502,-0.454899,-0.618714,0.640515
25 Jul 2022 10:06:10.000,179.895,-70.269,87.943,109.742,1.832,-89.305,-160.280,89.306,-88.168,-0.413657,-0.568180,0.588198,0.400104,0.000000,-0.053093,0.000008,0.053093,-90.000,0.009,132.831,-0.451359,-0.619965,0.641808
25 Jul 2022 10:06:20.000,179.898,-69.738,87.945,110.273,1.825,-89.288,-159.750,89.289,-88.175,-0.410928,-0.570027,0.590108,0.397467,-0.000000,-0.053093,0.000008,0.053093,-90.000,0.009,133.160,-0.447821,-0.621204,0.643088
25 Jul 2022 10:06:30.000,179.900,-69.207,87.948,110.804,1.819,-89.271,-159.219,89.272,-88.181,-0.408190,-0.571862,0.592006,0.394821,0.000000,-0.053093,0.000009,0.053093,-90.000,0.009,133.490,-0.444284,-0.622429,0.644355
