"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Alt AGL (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)","Centric Lat (deg)","Centric Lon (deg)","Terrain Alt (km)","Alt MSL (km)"
25 Jul 2022 10:00:00.000,0.000,93.604,50.000000,No Terrain,-0.000000,0.052937,0.000000,0.000,93.604,No Terrain,50.042682
25 Jul 2022 10:00:10.000,-0.000,94.133,50.000004,No Terrain,-0.000000,0.052937,0.000001,-0.000,94.133,No Terrain,50.039030
25 Jul 2022 10:00:20.000,-0.000,94.663,50.000023,No Terrain,-0.000000,0.052937,0.000003,-0.000,94.663,No Terrain,50.036209
25 Jul 2022 10:00:30.000,-0.000,95.192,50.000066,No Terrain,-0.000000,0.052937,0.000006,-0.000,95.192,No Terrain,50.032790
25 Jul 2022 10:00:40.000,-0.000,95.721,50.000137,No Terrain,-0.000000,0.052937,0.000009,-0.000,95.721,No Terrain,50.030225
25 Jul 2022 10:00:50.000,-0.000,96.251,50.000242,No Terrain,-0.000000,0.052937,0.000012,-0.000,96.251,No Terrain,50.029782
25 Jul 2022 10:01:00.000,-0.000,96.780,50.000379,No Terrain,-0.000001,0.052937,0.000015,-0.000,96.780,No Terrain,50.030047
25 Jul 2022 10:01:10.000,-0.000,97.309,50.000546,No Terrain,-0.000001,0.052937,0.000018,-0.000,97.309,No Terrain,50.026945
25 Jul 2022 10:01:20.000,-0.000,97.839,50.000740,No Terrain,-0.000001,0.052937,0.000020,-0.000,97.839,No Terrain,50.021243
25 Jul 2022 10:01:30.000,-0.000,98.368,50.000952,No Terrain,-0.000001,0.052938,0.000022,-0.000,98.368,No Terrain,50.016996
25 Jul 2022 10:01:40.000,-0.000,98.898,50.001173,No Terrain,-0.000001,0.052938,0.000022,-0.000,98.898,No Terrain,50.014052
25 Jul 2022 10:01:50.000,-0.000,99.427,50.001393,No Terrain,-0.000001,0.052938,0.000022,-0.000,99.427,No Terrain,50.012492
25 Jul 2022 10:02:00.000,-0.000,99.956,50.001602,No Terrain,-0.000001,0.052938,0.000020,-0.000,99.956,No Terrain,50.009096
25 Jul 2022 10:02:10.000,-0.000,100.486,50.001787,No Terrain,-0.000001,0.052938,0.000017,-0.000,100.486,No Terrain,50.005851
25 Jul 2022 10:02:20.000,-0.000,101.015,50.001939,No Terrain,-0.000001,0.052939,0.000013,-0.000,101.015,No Terrain,50.003851
25 Jul 2022 10:02:30.000,-0.000,101.544,50.002050,No Terrain,-0.000001,0.052939,0.000009,-0.000,101.544,No Terrain,50.002031
25 Jul 2022 10:02:40.000,-0.000,102.074,50.002113,No Terrain,-0.000002,0.052939,0.000004,-0.000,102.074,No Terrain,49.999855
25 Jul 2022 10:02:50.000,-0.000,102.603,50.002123,No Terrain,-0.000002,0.052939,-0.000002,-0.000,102.603,No Terrain,49.997630
25 Jul 2022 10:03:00.000,-0.000,103.133,50.002080,No Terrain,-0.000002,0.052939,-0.000007,-0.000,103.133,No Terrain,49.995232
25 Jul 2022 10:03:10.000,-0.000,103.662,50.001984,No Terrain,-0.000002,0.052939,-0.000012,-0.000,103.662,No Terrain,49.993091
25 Jul 2022 10:03:20.000,-0.000,104.191,50.001838,No Terrain,-0.000002,0.052939,-0.000017,-0.000,104.191,No Terrain,49.990586
25 Jul 2022 10:03:30.000,-0.000,104.721,50.001645,No Terrain,-0.000002,0.052939,-0.000021,-0.000,104.721,No Terrain,49.988268
25 Jul 2022 10:03:40.000,-0.000,105.250,50.001410,No Terrain,-0.000002,0.052939,-0.000025,-0.000,105.250,No Terrain,49.986110
25 Jul 2022 10:03:50.000,-0.000,105.780,50.001140,No Terrain,-0.000002,0.052939,-0.000029,-0.000,105.780,No Terrain,49.983910
25 Jul 2022 10:04:00.000,-0.000,106.309,50.000839,No Terrain,-0.000002,0.052939,-0.000031,-0.000,106.309,No Terrain,49.981615
25 Jul 2022 10:04:10.000,-0.000,106.838,50.000512,No Terrain,-0.000003,0.052939,-0.000034,-0.000,106.838,No Terrain,49.979131
25 Jul 2022 10:04:20.000,-0.000,107.368,50.000162,No Terrain,-0.000003,0.052939,-0.000036,-0.000,107.368,No Terrain,49.976627
25 Jul 2022 10:04:30.000,-0.000,107.897,49.999792,No Terrain,-0.000003,0.052939,-0.000038,-0.000,107.897,No Terrain,49.974161
25 Jul 2022 10:04:40.000,-0.000,108.427,49.999406,No Terrain,-0.000003,0.052939,-0.000040,-0.000,108.427,No Terrain,49.971672
25 Jul 2022 10:04:50.000,-0.000,108.956,49.999003,No Terrain,-0.000003,0.052940,-0.000041,-0.000,108.956,No Terrain,49.968790
25 Jul 2022 10:05:00.000,-0.000,109.485,49.998585,No Terrain,-0.000003,0.052940,-0.000042,-0.000,109.485,No Terrain,49.966474
25 Jul 2022 10:05:10.000,-0.000,110.015,49.998155,No Terrain,-0.000003,0.052940,-0.000044,-0.000,110.015,No Terrain,49.964206
25 Jul 2022 10:05:20.000,-0.001,110.544,49.997713,No Terrain,-0.000003,0.052940,-0.000045,-0.001,110.544,No Terrain,49.962033
25 Jul 2022 10:05:30.000,-0.001,111.073,49.997261,No Terrain,-0.000003,0.052940,-0.000046,-0.001,111.073,No Terrain,49.959852
25 Jul 2022 10:05:40.000,-0.001,111.603,49.996804,No Terrain,-0.000003,0.052940,-0.000046,-0.001,111.603,No Terrain,49.957552
25 Jul 2022 10:05:50.000,-0.001,112.132,49.996342,No Terrain,-0.000004,0.052940,-0.000046,-0.001,112.132,No Terrain,49.955096
25 Jul 2022 10:06:00.000,-0.001,112.662,49.995879,No Terrain,-0.000004,0.052940,-0.000046,-0.001,112.662,No Terrain,49.952420
25 Jul 2022 10:06:10.000,-0.001,113.191,49.995417,No Terrain,-0.000004,0.052940,-0.000046,-0.001,113.191,No Terrain,49.949025
25 Jul 2022 10:06:20.000,-0.001,113.721,49.994957,No Terrain,-0.000004,0.052940,-0.000046,-0.001,113.721,No Terrain,49.946099
25 Jul 2022 10:06:30.000,-0.001,114.250,49.994499,No Terrain,-0.000004,0.052941,-0.000046,-0.001,114.250,No Terrain,49.943101
25 Jul 2022 10:06:40.000,-0.001,114.779,49.994042,No Terrain,-0.000004,0.052941,-0.000046,-0.001,114.779,No Terrain,49.940423
25 Jul 2022 10:06:50.000,-0.001,115.309,49.993581,No Terrain,-0.000004,0.052941,-0.000046,-0.001,115.309,No Terrain,49.938934
25 Jul 2022 10:07:00.000,-0.001,115.838,49.993113,No Terrain,-0.000004,0.052941,-0.000047,-0.001,115.838,No Terrain,49.938268
25 Jul 2022 10:07:10.000,-0.001,116.368,49.992630,No Terrain,-0.000004,0.052941,-0.000049,-0.001,116.368,No Terrain,49.937929
25 Jul 2022 10:07:20.000,-0.001,116.897,49.992128,No Terrain,-0.000004,0.052942,-0.000052,-0.001,116.897,No Terrain,49.937431
25 Jul 2022 10:07:30.000,-0.001,117.426,49.991598,No Terrain,-0.000004,0.052942,-0.000055,-0.001,117.426,No Terrain,49.936981
25 Jul 2022 10:07:40.000,-0.001,117.956,49.991035,No Terrain,-0.000004,0.052942,-0.000058,-0.001,117.956,No Terrain,49.938046
25 Jul 2022 10:07:50.000,-0.001,118.485,49.990433,No Terrain,-0.000004,0.052942,-0.000062,-0.001,118.485,No Terrain,49.938217
25 Jul 2022 10:08:00.000,-0.001,119.015,49.989788,No Terrain,-0.000004,0.052942,-0.000067,-0.001,119.015,No Terrain,49.936094
25 Jul 2022 10:08:10.000,-0.001,119.544,49.989098,No Terrain,-0.000004,0.052942,-0.000071,-0.001,119.544,No Terrain,49.933068
25 Jul 2022 10:08:20.000,-0.001,120.073,49.988363,No Terrain,-0.000004,0.052943,-0.000076,-0.001,120.073,No Terrain,49.929795
25 Jul 2022 10:08:30.000,-0.001,120.603,49.987584,No Terrain,-0.000005,0.052943,-0.000080,-0.001,120.603,No Terrain,49.927528
25 Jul 2022 10:08:40.000,-0.001,121.132,49.986764,No Terrain,-0.000005,0.052943,-0.000084,-0.001,121.132,No Terrain,49.925149
25 Jul 2022 10:08:50.000,-0.001,121.662,49.985905,No Terrain,-0.000004,0.052943,-0.000088,-0.001,121.662,No Terrain,49.922764
25 Jul 2022 10:09:00.000,-0.001,122.191,49.985012,No Terrain,-0.000004,0.052943,-0.000091,-0.001,122.191,No Terrain,49.923018
25 Jul 2022 10:09:10.000,-0.001,122.721,49.984089,No Terrain,-0.000004,0.052943,-0.000094,-0.001,122.721,No Terrain,49.926213
25 Jul 2022 10:09:20.000,-0.001,123.250,49.983138,No Terrain,-0.000004,0.052943,-0.000096,-0.001,123.250,No Terrain,49.928339
25 Jul 2022 10:09:30.000,-0.002,123.779,49.982162,No Terrain,-0.000004,0.052944,-0.000099,-0.002,123.779,No Terrain,49.928030
25 Jul 2022 10:09:40.000,-0.002,124.309,49.981162,No Terrain,-0.000004,0.052944,-0.000101,-0.002,124.309,No Terrain,49.926276
25 Jul 2022 10:09:50.000,-0.002,124.838,49.980138,No Terrain,-0.000004,0.052944,-0.000104,-0.002,124.838,No Terrain,49.928140
25 Jul 2022 10:10:00.000,-0.002,125.368,49.979089,No Terrain,-0.000004,0.052944,-0.000106,-0.002,125.368,No Terrain,49.931311
25 Jul 2022 10:10:10.000,-0.002,125.897,49.978013,No Terrain,-0.000004,0.052944,-0.000109,-0.002,125.897,No Terrain,49.931606
