"Time (UTCG)","x (km)","y (km)","z (km)"
25 Jul 2022 10:00:00.000,112.349385,-1783.865571,0.000000
25 Jul 2022 10:00:10.000,128.826042,-1782.751420,0.000037
25 Jul 2022 10:00:20.000,145.291666,-1781.485104,0.000097
25 Jul 2022 10:00:30.000,161.744866,-1780.066739,0.000181
25 Jul 2022 10:00:40.000,178.184250,-1778.496451,0.000289
25 Jul 2022 10:00:50.000,194.608428,-1776.774376,0.000420
25 Jul 2022 10:01:00.000,211.016014,-1774.900661,0.000577
25 Jul 2022 10:01:10.000,227.405618,-1772.875460,0.000761
25 Jul 2022 10:01:20.000,243.775853,-1770.698941,0.000975
25 Jul 2022 10:01:30.000,260.125331,-1768.371277,0.001219
25 Jul 2022 10:01:40.000,276.452663,-1765.892658,0.001496
25 Jul 2022 10:01:50.000,292.756459,-1763.263281,0.001806
25 Jul 2022 10:02:00.000,309.035326,-1760.483358,0.002150
25 Jul 2022 10:02:10.000,325.287872,-1757.553114,0.002527
25 Jul 2022 10:02:20.000,341.512704,-1754.472788,0.002938
25 Jul 2022 10:02:30.000,357.708429,-1751.242635,0.003382
25 Jul 2022 10:02:40.000,373.873655,-1747.862925,0.003859
25 Jul 2022 10:02:50.000,390.006991,-1744.333941,0.004367
25 Jul 2022 10:03:00.000,406.107051,-1740.655986,0.004906
25 Jul 2022 10:03:10.000,422.172451,-1736.829374,0.005478
25 Jul 2022 10:03:20.000,438.201813,-1732.854437,0.006082
25 Jul 2022 10:03:30.000,454.193764,-1728.731519,0.006718
25 Jul 2022 10:03:40.000,470.146935,-1724.460977,0.007389
25 Jul 2022 10:03:50.000,486.059962,-1720.043182,0.008095
25 Jul 2022 10:04:00.000,501.931490,-1715.478516,0.008836
25 Jul 2022 10:04:10.000,517.760163,-1710.767372,0.009613
25 Jul 2022 10:04:20.000,533.544635,-1705.910156,0.010426
25 Jul 2022 10:04:30.000,549.283560,-1700.907284,0.011276
25 Jul 2022 10:04:40.000,564.975598,-1695.759184,0.012161
25 Jul 2022 10:04:50.000,580.619410,-1690.466295,0.013079
25 Jul 2022 10:05:00.000,596.213665,-1685.029070,0.014029
25 Jul 2022 10:05:10.000,611.757032,-1679.447974,0.015009
25 Jul 2022 10:05:20.000,627.248184,-1673.723483,0.016017
25 Jul 2022 10:05:30.000,642.685802,-1667.856088,0.017051
25 Jul 2022 10:05:40.000,658.068569,-1661.846290,0.018109
25 Jul 2022 10:05:50.000,673.395174,-1655.694604,0.019191
25 Jul 2022 10:06:00.000,688.664311,-1649.401557,0.020294
25 Jul 2022 10:06:10.000,703.874680,-1642.967684,0.021420
25 Jul 2022 10:06:20.000,719.024986,-1636.393535,0.022567
25 Jul 2022 10:06:30.000,734.113940,-1629.679667,0.023736
25 Jul 2022 10:06:40.000,749.140256,-1622.826650,0.024929
25 Jul 2022 10:06:50.000,764.102654,-1615.835062,0.026145
25 Jul 2022 10:07:00.000,778.999855,-1608.705493,0.027385
25 Jul 2022 10:07:10.000,793.830589,-1601.438544,0.028650
25 Jul 2022 10:07:20.000,808.593585,-1594.034828,0.029939
25 Jul 2022 10:07:30.000,823.287579,-1586.494969,0.031253
25 Jul 2022 10:07:40.000,837.911310,-1578.819605,0.032589
25 Jul 2022 10:07:50.000,852.463525,-1571.009388,0.033946
25 Jul 2022 10:08:00.000,866.942975,-1563.064980,0.035322
25 Jul 2022 10:08:10.000,881.348416,-1554.987060,0.036711
25 Jul 2022 10:08:20.000,895.678616,-1546.776317,0.038111
25 Jul 2022 10:08:30.000,909.932348,-1538.433455,0.039517
25 Jul 2022 10:08:40.000,924.108392,-1529.959189,0.040923
25 Jul 2022 10:08:50.000,938.205538,-1521.354245,0.042324
25 Jul 2022 10:09:00.000,952.222585,-1512.619360,0.043715
25 Jul 2022 10:09:10.000,966.158337,-1503.755281,0.045093
25 Jul 2022 10:09:20.000,980.011608,-1494.762766,0.046452
25 Jul 2022 10:09:30.000,993.781219,-1485.642581,0.047791
