,ID,H,LAT,LON,Error_H(km),Error_LAT(km),Error_LON(km),xEast,yNorth,zUp
0,0.0,50.69201069812107,0.002247391424547076,-147.82607185801456,0.6920106981210665,0.4008097404316133,0.06814843770676948,412.5041370822484,70.1368003763015,691.9617412342159
1,1.0,50.28705947544909,0.0006494335826381492,-147.2827979779745,0.28705947544909094,0.009795110073885949,0.01972332545397159,10.078618351366515,20.294219030949854,287.0593318465776
2,2.0,50.59706527787216,0.006743987029405334,-146.7527080812405,0.5970652778721615,0.020647738154252755,0.20456092864942513,21.24904740762264,210.51825956781,597.0527584334061
3,3.0,54.29248188000149,0.06863299362379459,-146.16222462480235,4.292481880001489,1.862835440506298,2.081273286364013,1921.0459420202342,2146.31111738204,4290.166450859902
4,4.0,50.26785059722385,0.006849003725229574,-145.70522541569557,0.2678505972238483,0.34269678842532036,0.20780603341813816,352.61196202480323,213.81854153145056,267.8030342705897
5,5.0,50.455605216609804,0.0004736459619626587,-145.19962552365462,0.45560521660980413,1.0744631545417938,0.014514149233697824,1105.666427380767,14.935774903011707,455.26326465504474
6,6.0,50.75930799689957,0.00028364242047610854,-144.62494449356737,0.7593079968995724,0.2885117126701193,0.008782928613795888,296.94077477819735,9.039674407237861,759.2833191385114
7,7.0,50.20529417832659,0.0007403291698250889,-144.11666356705547,0.20529417832658936,0.36195670568441785,0.022661524298794887,372.41609221290037,23.316540825366907,205.25523309604293
8,8.0,50.19947979263176,0.00030040058654542034,-143.58872381033567,0.19947979263176308,0.4163035267150207,0.00935173905683002,428.3319676877986,9.622138569447394,199.4284497944611
9,9.0,50.47884427390262,0.003104703014920798,-143.05258839109038,0.47884427390261664,0.2221607243777581,0.09441790763817409,228.6154354087509,97.16136851099569,478.8270173347151
10,10.0,50.18953273219559,-0.0007843152043780132,-142.52479898641806,0.18953273219558753,0.2810667232312111,0.023479831281101416,289.1861000401816,24.157865788996926,189.50917751108088
11,11.0,50.80732591023497,0.008154196865778562,-141.98295757997155,0.8073259102349724,0.08610072852363558,0.24756580249274623,88.61859784087619,254.80568940718481,807.3055605056126
12,12.0,,,,,,,,,
13,13.0,,,,,,,,,
14,14.0,,,,,,,,,
15,15.0,,,,,,,,,
16,16.0,,,,,,,,,
17,17.0,,,,,,,,,
18,18.0,50.83213017845982,0.002083973533622626,-138.27975172279082,0.8321301784598205,0.06309448632161478,0.0637085566919025,64.94047863422867,65.57293073485855,832.1277970518915
